fips,county_name,state,state_long,msa_code,msa_name,msa_type,csa_code,csa_name
01001,Autauga County,AL,Alabama,C3386,"Montgomery, AL",Metro,,
01003,Baldwin County,AL,Alabama,C1930,"Daphne-Fairhope-Foley, AL",Metro,CS380,"Mobile-Daphne-Fairhope, AL"
01005,Barbour County,AL,Alabama,,,,,
01007,Bibb County,AL,Alabama,C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
01009,Blount County,AL,Alabama,C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
01011,Bullock County,AL,Alabama,,,,,
01013,Butler County,AL,Alabama,,,,,
01015,Calhoun County,AL,Alabama,C1150,"Anniston-Oxford-Jacksonville, AL",Metro,,
01017,Chambers County,AL,Alabama,C4674,"Valley, AL",Micro,CS194,"Columbus-Auburn-Opelika, GA-AL"
01019,Cherokee County,AL,Alabama,,,,,
01021,Chilton County,AL,Alabama,C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
01023,Choctaw County,AL,Alabama,,,,,
01025,Clarke County,AL,Alabama,,,,,
01027,Clay County,AL,Alabama,,,,,
01029,Cleburne County,AL,Alabama,,,,,
01031,Coffee County,AL,Alabama,C2146,"Enterprise, AL",Micro,CS222,"Dothan-Enterprise-Ozark, AL"
01033,Colbert County,AL,Alabama,C2252,"Florence-Muscle Shoals, AL",Metro,,
01035,Conecuh County,AL,Alabama,,,,,
01037,Coosa County,AL,Alabama,C4518,"Talladega-Sylacauga, AL",Micro,CS142,"Birmingham-Hoover-Talladega, AL"
01039,Covington County,AL,Alabama,,,,,
01041,Crenshaw County,AL,Alabama,,,,,
01043,Cullman County,AL,Alabama,C1898,"Cullman, AL",Micro,CS142,"Birmingham-Hoover-Talladega, AL"
01045,Dale County,AL,Alabama,C3712,"Ozark, AL",Micro,CS222,"Dothan-Enterprise-Ozark, AL"
01047,Dallas County,AL,Alabama,C4282,"Selma, AL",Micro,,
01049,DeKalb County,AL,Alabama,,,,,
01051,Elmore County,AL,Alabama,C3386,"Montgomery, AL",Metro,,
01053,Escambia County,AL,Alabama,,,,,
01055,Etowah County,AL,Alabama,C2346,"Gadsden, AL",Metro,,
01057,Fayette County,AL,Alabama,,,,,
01059,Franklin County,AL,Alabama,,,,,
01061,Geneva County,AL,Alabama,C2002,"Dothan, AL",Metro,CS222,"Dothan-Enterprise-Ozark, AL"
01063,Greene County,AL,Alabama,,,,,
01065,Hale County,AL,Alabama,C4622,"Tuscaloosa, AL",Metro,,
01067,Henry County,AL,Alabama,C2002,"Dothan, AL",Metro,CS222,"Dothan-Enterprise-Ozark, AL"
01069,Houston County,AL,Alabama,C2002,"Dothan, AL",Metro,CS222,"Dothan-Enterprise-Ozark, AL"
01071,Jackson County,AL,Alabama,C4246,"Scottsboro, AL",Micro,CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
01073,Jefferson County,AL,Alabama,C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
01075,Lamar County,AL,Alabama,,,,,
01077,Lauderdale County,AL,Alabama,C2252,"Florence-Muscle Shoals, AL",Metro,,
01079,Lawrence County,AL,Alabama,C1946,"Decatur, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
01081,Lee County,AL,Alabama,C1222,"Auburn-Opelika, AL",Metro,CS194,"Columbus-Auburn-Opelika, GA-AL"
01083,Limestone County,AL,Alabama,C2662,"Huntsville, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
01085,Lowndes County,AL,Alabama,C3386,"Montgomery, AL",Metro,,
01087,Macon County,AL,Alabama,,,,,
01089,Madison County,AL,Alabama,C2662,"Huntsville, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
01091,Marengo County,AL,Alabama,,,,,
01093,Marion County,AL,Alabama,,,,,
01095,Marshall County,AL,Alabama,C1070,"Albertville, AL",Micro,CS290,"Huntsville-Decatur-Albertville, AL"
01097,Mobile County,AL,Alabama,C3366,"Mobile, AL",Metro,CS380,"Mobile-Daphne-Fairhope, AL"
01099,Monroe County,AL,Alabama,,,,,
01101,Montgomery County,AL,Alabama,C3386,"Montgomery, AL",Metro,,
01103,Morgan County,AL,Alabama,C1946,"Decatur, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
01105,Perry County,AL,Alabama,,,,,
01107,Pickens County,AL,Alabama,C4622,"Tuscaloosa, AL",Metro,,
01109,Pike County,AL,Alabama,C4598,"Troy, AL",Micro,,
01111,Randolph County,AL,Alabama,,,,,
01113,Russell County,AL,Alabama,C1798,"Columbus, GA-AL",Metro,CS194,"Columbus-Auburn-Opelika, GA-AL"
01115,St. Clair County,AL,Alabama,C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
01117,Shelby County,AL,Alabama,C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
01119,Sumter County,AL,Alabama,,,,,
01121,Talladega County,AL,Alabama,C4518,"Talladega-Sylacauga, AL",Micro,CS142,"Birmingham-Hoover-Talladega, AL"
01123,Tallapoosa County,AL,Alabama,,,,,
